Material_ID,Category,Material_Name,Sub_Category,Brand,Product_Name,Product_URL,Specification,Grade,Size,Colour,Unit,Pack_Size,Price_INR,Min_Price_INR,Max_Price_INR,Price_Status,Quality_Rating,Durability_Rating,Application,Advantages,Disadvantages,Supplier_Location,Availability,Updated_Date
MAT001,Cement,OPC Cement,OPC 53,UltraTech,UltraTech OPC 53,https://www.ultratechcement.com/,IS 269:2015,53 Grade,,Grey,Bag,50 kg,425,400,460,Indicative,High,High,"Concrete, RCC",High strength,Higher cost,India,,2026-09-16
MAT002,Cement,PPC Cement,PPC,ACC,ACC PPC,https://www.acchelp.in/,IS 1489,,,Grey,Bag,50 kg,405,380,440,Indicative,High,High,"General concrete, masonry",Good workability,Slower early strength,India,,2026-09-16
MAT003,Steel,TMT Bar,Fe500D,Tata Tiscon,Tata Tiscon Fe500D 12mm,https://tatatiscon.co.in/,IS 1786,Fe500D,12 mm,Steel,Kg,1 kg,68,65,75,Indicative,High,High,RCC reinforcement,High strength,Price variation,India,,2026-09-16
MAT004,Steel,TMT Bar,Fe500D,JSW,JSW Neosteel Fe500D 16mm,https://www.jswneosteel.in/,IS 1786,Fe500D,16 mm,Steel,Kg,1 kg,67,64,74,Indicative,High,High,RCC reinforcement,Good ductility,Needs proper storage,India,,2026-09-16
MAT005,Sand,M-Sand,Manufactured Sand,Generic,M-Sand Zone II,,IS 383,Zone II,,Natural/processed,Cu Ft,1 cu ft,45,40,55,Indicative,Medium,High,"Concrete, plastering",Consistent grading,Quality varies by supplier,India,,2026-09-16
MAT006,Sand,River Sand,Natural Sand,Generic,River Sand,,IS 383,,,Natural,Cu Ft,1 cu ft,60,50,75,Indicative,High,High,"Masonry, plastering",Good workability,Availability varies,India,,2026-09-16
MAT007,Aggregate,Coarse Aggregate,20 mm,Generic,20 mm Crushed Aggregate,,IS 383,20 mm,20 mm,Stone,Cu Ft,1 cu ft,50,45,70,Indicative,High,High,"RCC, concrete",Good strength,Needs grading control,India,,2026-09-16
MAT008,Bricks,Red Clay Brick,Class A,Generic,Red Clay Brick 230x110x75 mm,,IS 1077,Class A,230x110x75 mm,Red,Piece,1 piece,11,9,14,Indicative,Medium,Medium,Masonry,Traditional and durable,Higher labour requirement,India,,2026-09-16
MAT009,Bricks,AAC Block,AAC Block,Magicrete,AAC Block 600x200x100 mm,https://www.magicrete.in/,IS 2185,AAC,600x200x100 mm,Grey,Piece,1 piece,55,48,65,Indicative,High,High,Wall construction,Lightweight,Requires suitable fixing,India,,2026-09-16
MAT010,Tiles,Vitrified Floor Tile,2x2 ft,Kajaria,Vitrified Tile 600x600 mm,https://www.kajariaceramics.com/,Relevant product specification,,600x600 mm,Multiple,Sq Ft,1 sq ft,65,50,100,Indicative,High,High,Flooring,Easy maintenance,Design-specific availability,India,,2026-09-16
MAT011,Paint,Interior Emulsion,Interior,Asian Paints,Apcolite Interior Emulsion,https://www.asianpaints.com/,Product specification,,,Multiple,Litre,1 L,320,250,400,Indicative,High,Medium,Interior walls,Wide colour range,Surface preparation required,India,,2026-09-16
MAT012,Plumbing,PVC Pipe,1 inch,Supreme,1 inch PVC Pipe,https://www.supreme.co.in/,Product specification,PVC,1 inch,White,Running Ft,1 ft,45,35,60,Indicative,High,High,Water supply/drainage,Corrosion resistant,Joint quality matters,India,,2026-09-16
MAT013,Electrical,Copper Wire,1.5 sq.mm,Havells,1.5 sq.mm Copper Wire,https://www.havells.com/,Product specification,,1.5 sq.mm,Multiple,Running Ft,1 ft,28,22,35,Indicative,High,High,Electrical wiring,Good conductivity,Must use correct rating,India,,2026-09-16
MAT014,Wood,Plywood,19 mm BWP,CenturyPly,19 mm BWP Plywood,https://www.centuryply.com/,IS product specification,BWP,19 mm,Wood,Sq Ft,1 sq ft,110,90,140,Indicative,High,High,"Furniture, doors",Moisture resistant,Higher cost,India,,2026-09-16
MAT015,Waterproofing,Cementitious Waterproofing,Coating,Generic,Cementitious Waterproofing Coating,,Product specification,,,Grey,Kg,1 kg,90,70,120,Indicative,Medium,High,"Bathrooms, terraces",Easy application,Requires correct surface preparation,India,,2026-09-16
