Material_ID,Category,Sub_Category,Brand,Product_Name,Image_URL,Product_Page_URL,Specification,Grade,Size,Thickness,Colour,Unit,Pack_Size,Price_INR,Min_Price_INR,Max_Price_INR,GST_Status,Quality_Rating,Durability_Rating,Application,Advantages,Disadvantages,Availability,Supplier_Location,Price_Type,Data_Status,Updated_Date
MAT0001,Cement,OPC 43,UltraTech,UltraTech OPC 43 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Brown,Bag,50 kg,436.73,393.06,502.24,Verify current GST,3,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0002,Cement,OPC 53,ACC,ACC OPC 53 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,Silver,Bag,50 kg,386.79,348.11,444.81,Verify current GST,3,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0003,Cement,PPC,Ambuja Cements,Ambuja Cements PPC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ambujacement.com/,IS 455,IS 455,Standard,,Brown,Bag,50 kg,363.81,327.43,418.38,Verify current GST,3,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0004,Cement,PSC,Dalmia Bharat,Dalmia Bharat PSC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.dalmiacement.com/,IS 1489,IS 1489,Standard,,Silver,Bag,50 kg,420.64,378.58,483.74,Verify current GST,3,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0005,Cement,Composite Cement,UltraTech,UltraTech Composite Cement Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Beige,Bag,50 kg,386.45,347.81,444.42,Verify current GST,4,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0006,Cement,OPC 43,ACC,ACC OPC 43 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,Beige,Bag,50 kg,443.78,399.4,510.35,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0007,Cement,OPC 53,Ambuja Cements,Ambuja Cements OPC 53 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ambujacement.com/,IS 455,IS 455,Standard,,White,Bag,50 kg,385.84,347.26,443.72,Verify current GST,4,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0008,Cement,PPC,Dalmia Bharat,Dalmia Bharat PPC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.dalmiacement.com/,IS 1489,IS 1489,Standard,,Black,Bag,50 kg,405.59,365.03,466.43,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0009,Cement,PSC,UltraTech,UltraTech PSC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Silver,Bag,50 kg,456.86,411.17,525.39,Verify current GST,5,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0010,Cement,Composite Cement,ACC,ACC Composite Cement Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,Brown,Bag,50 kg,369.46,332.51,424.88,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
